event_id,fetched_at,published_at,source,feed_url,event_type,title,summary,link,matched_keywords,impact_score,impact_level,impact_note,ml_score,ml_bucket_label,ml_model_version,ml_scored_at,ml_class_probs
1594,2026-04-01T10:49:55.299513+08:00,2026-04-01T01:28:14+00:00,7*24小时全球财经直播_同花顺财经,http://rss.jintiankansha.me/rss/GM4DEMJSGV6GEZRRGI4DMNJSGNRWIYRVGI3WGYRXMNSTSNBSHA4GCNZZMNRWMN3GGNRDKODGMQ2Q====,political,美国国务卿鲁比奥称结束伊朗战争终将到来 未来某个时候有可能与伊朗举行直接会谈,当地时间3月31日，美国国务卿鲁比奥表示，美国可以看到伊朗战争的“终点线”。他表示，结束伊朗战争不是今天，也不是明天，但终将到来。鲁比奥称，没有任何国家采取任何行动帮助伊朗，妨碍美国的任务。他还表示，未来某个时候有可能与伊朗举行直接会谈。鲁比奥还表示，伊朗战争后，美国将不得不重新审视北约关系。（央视新闻）,https://news.10jqka.com.cn/20260401/c675683984.shtml,会谈,5,中,利好词命中1个；低可信表态词命中1个,5.56,大幅利好黄金,ml-cls-manual-20260327T102650.131673+0800,2026-04-01T10:50:13.689377+08:00,"{""大幅利好黄金"": 0.30255, ""小幅利好黄金"": 0.202526, ""小幅利空黄金"": 0.212365, ""大幅利空黄金"": 0.282559}"
1593,2026-04-01T09:49:55.316605+08:00,2026-04-01T01:16:06+00:00,金十数据,http://rss.jintiankansha.me/rss/GM3DSNZUGJ6DOYTEG5RWENZRGUZDENLDGAYGMMDGMRSTONBRMUYWMM3FMQ2DGYZXMZSTGNDGG4YQ====,political,"<span class=""section-news"">1. 特朗普称将在两到三周内结束伊朗战事。</span><br/><span class=""section-news"">2. 伊朗总统：愿在获得保障的情况下结束战争。</...",1. 特朗普称将在两到三周内结束伊朗战事。 2. 伊朗总统：愿在获得保障的情况下结束战争。 3. 伊朗外长：未与美展开谈判 但有信息交换。 4. IPO排队企业掀“中止潮”，蓝箭航天、长鑫科技等财报待更新。 5. DeepSeek连续三天发生服务异常，最长宕机超10小时。 6. 2026年3月多地冶炼厂白银产量环比增长。 7. 沪深ETF总规模2月末收缩至5.39万亿元，结构性机会显现。 8. 2025公募业绩透视：多数营利双增，ETF降费让利效应初显。 9. 溢价风险触发临停：中韩半导体ETF高溢价引监管警示。 10. 油气ETF高溢价触发临停：跨境主题资金拥挤风险显现。 11. 纳指ETF溢价高企：申购受限叠加资金拥挤，价格偏离风险加剧。,,谈判,5,中,未命中明显风险词，按基础分,5.55,大幅利好黄金,ml-cls-manual-20260327T102650.131673+0800,2026-04-01T09:50:10.566470+08:00,"{""大幅利好黄金"": 0.302711, ""小幅利好黄金"": 0.202237, ""小幅利空黄金"": 0.212264, ""大幅利空黄金"": 0.282788}"
1584,2026-04-01T07:19:55.297776+08:00,2026-03-31T23:18:19+00:00,7*24小时全球财经直播_同花顺财经,http://rss.jintiankansha.me/rss/GM4DEMJSGV6GEZRRGI4DMNJSGNRWIYRVGI3WGYRXMNSTSNBSHA4GCNZZMNRWMN3GGNRDKODGMQ2Q====,political,中方呼吁国际社会紧急行动早日恢复黎巴嫩和中东地区和平稳定,中国常驻联合国副代表孙磊3月31日在安理会黎以局势紧急公开会上发言，呼吁国际社会采取紧急行动，在冲突进一步失控前踩下刹车，早日恢复地区和平稳定。 孙磊说，当前中东局势紧张升级，外溢影响不断蔓延。当务之急是积极劝和促谈，抓住和平机会，推动战火平息。实现停火止战是最紧迫的任务。近日以色列宣布将扩大在黎巴嫩的地面行动，扩张所谓“缓冲区”，战事进一步长期化、升级化的危险趋势令人担忧。黎巴嫩不能成为另一个加沙，国际社会绝不能允许加沙的惨剧再次上演。中方呼吁当事方立即停止敌对行动，推动局势缓和降温。以色列应立即从黎巴嫩全面撤军，尊重黎巴嫩的主权、安全和领土完整。 孙磊表示，当前局势给黎巴嫩国内政治、经济、人道局势等造成严重冲击。支持黎巴嫩国内稳定是重中之重。中方欢迎黎巴嫩政府推进对国家管控的努力，支持黎巴嫩国内各方积极开展,https://news.10jqka.com.cn/20260401/c675677613.shtml,停火,5,中,利好词命中2个；利空词命中2个；地缘紧张升级，降分；地缘缓和信号，升分,5.55,大幅利好黄金,ml-cls-manual-20260327T102650.131673+0800,2026-04-01T07:20:10.439161+08:00,"{""大幅利好黄金"": 0.302511, ""小幅利好黄金"": 0.202407, ""小幅利空黄金"": 0.21233, ""大幅利空黄金"": 0.282751}"
1585,2026-04-01T07:19:55.297776+08:00,2026-03-31T23:09:57+00:00,7*24小时全球财经直播_同花顺财经,http://rss.jintiankansha.me/rss/GM4DEMJSGV6GEZRRGI4DMNJSGNRWIYRVGI3WGYRXMNSTSNBSHA4GCNZZMNRWMN3GGNRDKODGMQ2Q====,political,伊朗外长：没什么比发动战争更能嘲讽“美国优先”,伊朗外交部长阿拉格齐3月31日在社交媒体发文说：“没有什么比为一个外国政权（以色列）发动战争、并从被派往前线的年轻士兵之死中牟取暴利，更能嘲讽‘美国优先’口号的了。”阿拉格齐给这条帖子配了一张网页截图，显示英国《金融时报》爆料，美国国防部长赫格塞思的一名投资经纪人在美以对伊朗发起袭击前不久，尝试将大笔资金投入军工类基金。这一消息引发外界对“内幕交易”的怀疑。阿拉格齐表示，这是一场并非必要的“选择性战争”，“既强加给美国人民，也强加给伊朗人民”。(新华社),https://news.10jqka.com.cn/20260401/c675677518.shtml,外交,3,低,利空词命中1个；地缘紧张升级，降分,5.55,大幅利好黄金,ml-cls-manual-20260327T102650.131673+0800,2026-04-01T07:20:10.439161+08:00,"{""大幅利好黄金"": 0.302432, ""小幅利好黄金"": 0.202198, ""小幅利空黄金"": 0.212312, ""大幅利空黄金"": 0.283058}"
1586,2026-04-01T07:19:55.297776+08:00,2026-03-31T23:07:38+00:00,7*24小时全球财经直播_同花顺财经,http://rss.jintiankansha.me/rss/GM4DEMJSGV6GEZRRGI4DMNJSGNRWIYRVGI3WGYRXMNSTSNBSHA4GCNZZMNRWMN3GGNRDKODGMQ2Q====,political,古巴感谢俄罗斯石油援助,古巴外交部3月31日在社交媒体发文，就俄罗斯在美国对古实施能源封锁背景下援助石油表示感谢。古巴能源和矿产部长比森特·德拉欧当天也发文感谢俄罗斯政府和人民对古巴的支持。据古共中央机关报《格拉玛报》报道，一艘载有10万吨原油的俄罗斯油轮当天上午抵达古巴西部马坦萨斯湾。这批原油预计可支持古巴国家电力系统及其他经济活动运行约10天。报道同时指出，如果美国不解除对古巴封锁，古巴能源短缺问题难以从根本上解决。美国今年年初对委内瑞拉发动大规模军事打击后，进一步加大对古巴的压力，包括实施新一轮石油限制措施。美国总统特朗普1月29日签署行政令，威胁对向古巴提供石油国家的输美商品加征从价关税。据美国《纽约时报》报道，美国海岸警卫队本月29日允许一艘满载原油的俄罗斯油轮驶向古巴港口。俄罗斯总统新闻秘书佩斯科夫30日表示，俄罗斯不会对,https://news.10jqka.com.cn/20260401/c675677487.shtml,外交,4,低,利空词命中1个；低可信表态词命中1个,5.55,大幅利好黄金,ml-cls-manual-20260327T102650.131673+0800,2026-04-01T07:20:10.439161+08:00,"{""大幅利好黄金"": 0.302655, ""小幅利好黄金"": 0.202202, ""小幅利空黄金"": 0.212318, ""大幅利空黄金"": 0.282826}"
1589,2026-04-01T08:19:55.289400+08:00,2026-03-31T22:53:21+00:00,金十数据,http://rss.jintiankansha.me/rss/GM3DSNZUGJ6DOYTEG5RWENZRGUZDENLDGAYGMMDGMRSTONBRMUYWMM3FMQ2DGYZXMZSTGNDGG4YQ====,political,金十数据整理：俄乌冲突最新24小时局势跟踪（4月1日）,1. 市场消息：美国解除对部分俄罗斯籍集装箱船的制裁。 2. 俄罗斯波罗的海石油出口因无人机袭击降至四年低点。 3. 克里姆林宫：尚未看到基辅提出的“明确”的复活节停火提议。 4. 当地领导人表示，乌克兰无人机再次袭击俄罗斯波罗的海港口乌斯特卢加。 5. 俄罗斯总统助手帕特鲁舍夫：乌克兰在西方间谍机构的参与下袭击了俄罗斯民用基础设施。 6. 乌总统泽连斯基：将于4月1日与美方举行视频会谈。乌克兰将请求美国向俄罗斯转达能源停火提议。 7. 克里姆林宫：如果其他国家允许乌克兰利用其领空对俄罗斯波罗的海港口发动无人机袭击，俄罗斯将作出回应。,,"停火,会谈",5,中,利好词命中2个；利空词命中2个；地缘紧张升级，降分；地缘缓和信号，升分,5.56,大幅利好黄金,ml-cls-manual-20260327T102650.131673+0800,2026-04-01T08:20:10.131672+08:00,"{""大幅利好黄金"": 0.302724, ""小幅利好黄金"": 0.202289, ""小幅利空黄金"": 0.212365, ""大幅利空黄金"": 0.282623}"
1590,2026-04-01T08:19:55.289400+08:00,2026-03-31T22:42:07+00:00,金十数据,http://rss.jintiankansha.me/rss/GM3DSNZUGJ6DOYTEG5RWENZRGUZDENLDGAYGMMDGMRSTONBRMUYWMM3FMQ2DGYZXMZSTGNDGG4YQ====,political,特朗普：伊朗需15到20年才能完成重建,金十数据4月1日讯，美国总统特朗普在白宫发表讲话时表示，在美以密集打击之后，伊朗需要“15到20年”才能完成重建。他对记者表示：“我们要摧毁他们拥有的一切。我们已经让他们倒退了。他们需要15到20年才能重建我们对他们所做的一切。”“他们没有海军。他们没有军队。他们没有空军。他们没有电信设施。他们没有防空系统。他们没有领导人。”特朗普补充道：“如果他们坐到谈判桌前，那将很好。但他们是否坐到谈判桌前并不重要。”,,谈判,5,中,未命中明显风险词，按基础分,5.55,大幅利好黄金,ml-cls-manual-20260327T102650.131673+0800,2026-04-01T08:20:10.131672+08:00,"{""大幅利好黄金"": 0.30253, ""小幅利好黄金"": 0.2024, ""小幅利空黄金"": 0.212464, ""大幅利空黄金"": 0.282606}"
1587,2026-04-01T07:19:55.297776+08:00,2026-03-31T22:41:52+00:00,7*24小时全球财经直播_同花顺财经,http://rss.jintiankansha.me/rss/GM4DEMJSGV6GEZRRGI4DMNJSGNRWIYRVGI3WGYRXMNSTSNBSHA4GCNZZMNRWMN3GGNRDKODGMQ2Q====,political,美官员：第三方斡旋效果不佳 应直接与伊朗谈判,美国官员对通过第三方与伊朗开展间接谈判表示担忧，认为直接谈判更为高效。该官员称，尽管巴基斯坦有意协助调解冲突，但美方对将伊斯兰堡作为谈判地点持保留意见，主要出于安全风险考虑。此外，该官员还指出，此前通过阿曼斡旋的效果不佳。（央视新闻）,https://news.10jqka.com.cn/20260401/c675677138.shtml,"谈判,斡旋",4,低,利空词命中1个,5.56,大幅利好黄金,ml-cls-manual-20260327T102650.131673+0800,2026-04-01T07:20:10.439161+08:00,"{""大幅利好黄金"": 0.302747, ""小幅利好黄金"": 0.202256, ""小幅利空黄金"": 0.212409, ""大幅利空黄金"": 0.282588}"
1588,2026-04-01T07:19:55.297776+08:00,2026-03-31T22:39:18+00:00,7*24小时全球财经直播_同花顺财经,http://rss.jintiankansha.me/rss/GM4DEMJSGV6GEZRRGI4DMNJSGNRWIYRVGI3WGYRXMNSTSNBSHA4GCNZZMNRWMN3GGNRDKODGMQ2Q====,political,加拿大总理：以色列“非法入侵”黎巴嫩,加拿大总理马克·卡尼3月31日谴责以色列在黎巴嫩的军事行动，说这是侵犯黎巴嫩主权和领土完整的“非法入侵”。卡尼说：“黎巴嫩需要停火。这（以色列的军事行动）是一场非法入侵，侵犯了黎巴嫩领土主权和完整。”他同时表示，黎巴嫩政府正在努力采取行动应对真主党对以色列的“威胁”，而后者正是以色列声称的入侵理由。以色列总理内塔尼亚胡3月29日说，他已指示以色列国防军扩大在黎巴嫩南部控制的“缓冲区”。以国防部长卡茨3月31日称，在当前冲突结束后，以色列将继续控制黎南部利塔尼河以南的“缓冲区”。（央视新闻）,https://news.10jqka.com.cn/20260401/c675677120.shtml,停火,6,中,利好词命中1个；利空词命中1个；地缘缓和信号，升分,5.55,大幅利好黄金,ml-cls-manual-20260327T102650.131673+0800,2026-04-01T07:20:10.439161+08:00,"{""大幅利好黄金"": 0.302263, ""小幅利好黄金"": 0.202611, ""小幅利空黄金"": 0.212428, ""大幅利空黄金"": 0.282698}"
1592,2026-04-01T08:19:55.289400+08:00,2026-03-31T22:30:30+00:00,金十数据,http://rss.jintiankansha.me/rss/GM3DSNZUGJ6DOYTEG5RWENZRGUZDENLDGAYGMMDGMRSTONBRMUYWMM3FMQ2DGYZXMZSTGNDGG4YQ====,political,金十数据整理：中东局势跟踪（4月1日）,美以伊冲突： ①伊朗 1. 伊朗逮捕54名美以关联人员。 2. 伊朗一宗教场所遭空袭致3人死亡。 3. 伊朗称打击沙特境内美军飞行员住所。 4. 伊朗称袭击阿联酋一处美军秘密指挥中心。 5. 伊朗官员称当下国家治理不存在内部分歧。 6. 伊朗称使用无人机打击以色列境内科技公司。 7. 伊朗高官就美军可能发动地面战密集发声警告。 8. 伊朗伊斯兰革命卫队称已为消耗美以实力制定长远计划。 9. 据俄新社援引俄罗斯特使称，伊朗最高领袖目前身在伊朗，但避免公开露面。 10. 伊朗一家大型制药企业、布什尔气象设施、伊朗穆巴拉克钢铁厂在美以联合空袭中遭破坏。 11. 据伊朗媒体：伊朗武装部队总参谋长顾问贾姆希德·埃哈基在美国和以色列的联合袭击中遇害。 12. 伊朗总统佩泽希齐扬：伊朗愿意结束战争，但前提是其诉求得到满足，尤,,停火,1,低,利空词命中3个；低可信表态词命中1个；地缘紧张升级，降分,5.56,大幅利好黄金,ml-cls-manual-20260327T102650.131673+0800,2026-04-01T08:20:10.131672+08:00,"{""大幅利好黄金"": 0.30297, ""小幅利好黄金"": 0.202094, ""小幅利空黄金"": 0.212281, ""大幅利空黄金"": 0.282656}"
